caldt,DFABC
20110131,0.031798
20110228,0.054088
20110331,0.00474
20110429,0.025015
20110531,-0.013945
20110630,-0.017998
20110729,-0.045783
20110831,-0.084596
20110930,-0.101087
20111031,0.138782
20111130,-0.008125
20111230,0.007752
20120131,0.049829
20120229,0.057867
20120330,0.018257
20120430,-0.020594
20120531,-0.071119
20120629,0.054135
20120731,0.009524
20120831,0.039623
20120928,0.036954
20121031,0.002931
20121130,0.001753
20121231,0.030284
20130131,0.070205
20130228,0.0128
20130328,0.047752
20130430,0.01059
20130531,0.040918
20130628,-0.011069
20130731,0.059883
20130830,-0.029398
20130930,0.029162
20131031,0.050808
20131129,0.041758
20131231,0.026821
20140131,-0.039646
20140228,0.033816
20140331,0.023574
20140430,0.006664
20140530,0.021928
20140630,0.027254
20140731,-0.007522
20140829,0.031911
20140930,-0.024637
20141031,0.007567
20141128,0.011858
20141231,0.007471
20150130,-0.04955
20150227,0.070659
20150331,-0.018827
20150430,0.020198
20150529,0.011313
20150630,-0.01612
20150731,-0.002855
20150831,-0.060532
20150930,-0.032271
20151030,0.0819
20151130,0.003764
20151231,-0.031351
20160129,-0.06813
20160229,0.001963
20160331,0.072832
20160429,0.027102
20160531,0.013417
20160630,-0.000985
20160729,0.034207
20160831,0.012027
20160930,0.004687
20161031,-0.016985
20161130,0.078618
20161230,0.025421
20170131,0.014193
20170228,0.030388
20170331,-0.009262
20170428,0.00669
20170531,-0.000782
20170630,0.016437
20170731,0.017021
20170831,-0.009129
20170929,0.03863
20171031,0.014498
20171130,0.035544
20171229,0.023291
20180131,0.051462
20180228,-0.049648
20180329,-0.022434
20180430,0.001523
20180531,0.009506
20180629,-0.007116
20180731,0.041571
20180831,0.01428
20180928,0.000996
20181031,-0.063452
20181130,0.023229
20181231,-0.109884
20190131,0.087036
20190228,0.024863
20190329,-0.004968
20190430,0.034483
20190531,-0.077108
20190628,0.079906
20190731,0.010539
20190830,-0.040915
20190930,0.039515
20191031,0.021457
20191129,0.039239
20191231,0.027637
20200131,-0.040691
20200228,-0.105642
20200331,-0.201244
20200430,0.130361
20200529,0.038942
20200630,-0.008523
20200731,0.031707
20200831,0.044444
20200930,-0.023188
20201030,-0.012593
20201130,0.15777
20201231,0.036579
