Date,Adj Close
1/1/11,19.53
2/1/11,18.35
3/1/11,17.74
4/1/11,14.75
5/1/11,15.45
6/1/11,16.52
7/1/11,25.25
8/1/11,31.62
9/1/11,42.96
10/1/11,29.96
11/1/11,27.8
12/1/11,23.4
1/1/12,19.44
2/1/12,18.43
3/1/12,15.5
4/1/12,17.15
5/1/12,24.06
6/1/12,17.08
7/1/12,18.93
8/1/12,17.47
9/1/12,15.73
10/1/12,18.6
11/1/12,15.87
12/1/12,18.02
1/1/13,14.28
2/1/13,15.51
3/1/13,12.7
4/1/13,13.52
5/1/13,16.3
6/1/13,16.86
7/1/13,13.45
8/1/13,17.01
9/1/13,16.6
10/1/13,13.75
11/1/13,13.7
12/1/13,13.72
1/1/14,18.41
2/1/14,14
3/1/14,13.88
4/1/14,13.41
5/1/14,11.4
6/1/14,11.57
7/1/14,16.95
8/1/14,12.09
9/1/14,16.31
10/1/14,14.03
11/1/14,13.33
12/1/14,19.2
1/1/15,20.97
2/1/15,13.34
3/1/15,15.29
4/1/15,14.55
5/1/15,13.84
6/1/15,18.23
7/1/15,12.12
8/1/15,28.43
9/1/15,24.5
10/1/15,15.07
11/1/15,16.13
12/1/15,18.21
1/1/16,20.2
2/1/16,20.55
3/1/16,13.95
4/1/16,15.7
5/1/16,14.19
6/1/16,15.63
7/1/16,11.87
8/1/16,13.42
9/1/16,13.29
10/1/16,17.06
11/1/16,13.33
12/1/16,14.04
1/1/17,11.99
2/1/17,12.92
3/1/17,12.37
4/1/17,10.82
5/1/17,10.41
6/1/17,11.18
7/1/17,10.26
8/1/17,10.59
9/1/17,9.51
10/1/17,10.18
11/1/17,11.28
12/1/17,11.04
1/1/18,13.54
2/1/18,19.85
3/1/18,19.97
4/1/18,15.93
5/1/18,15.43
6/1/18,16.09
7/1/18,12.83
8/1/18,12.86
9/1/18,12.12
10/1/18,21.23
11/1/18,18.07
12/1/18,25.42
1/1/19,16.57
2/1/19,14.78
3/1/19,13.71
4/1/19,13.12
5/1/19,18.71
6/1/19,15.08
7/1/19,16.12
8/1/19,18.98
9/1/19,16.24
10/1/19,13.22
11/1/19,12.62
12/1/19,13.78
1/1/20,18.84
2/1/20,40.11
3/1/20,53.54
4/1/20,34.15
5/1/20,27.51
6/1/20,30.43
7/1/20,24.46
8/1/20,26.41
9/1/20,26.37
10/1/20,38.02
11/1/20,20.57
12/1/20,22.75
